Tool Name	Link	Paths in Genome Library required to run the tool
Arriba	https://github.com/suhrig/arriba	"• resources/ref_genome.fasta
• resources/ref_annot.gtf
• indices/star "
bowtie2	https://github.com/benlangmead/bowtie2	• indices/bowtie2
bwa-mem	https://github.com/lh3/bwa	• indices/bwa_mem/
bwa-mem2	https://github.com/bwa-mem2/bwa-mem2	• indices/bwa_mem2/
DeepVariant	https://github.com/google/deepvariant	"• resources/exome_definition/ref_cds.bed
• resources/exome_definition/ref_exome.bed.gz
• resources/ref_genome.fasta
"
featureCounts	https://doi.org/10.1093/bioinformatics/btt656	• resources/ref_annot.gtf
FreeBayes	https://github.com/freebayes/freebayes	"• resources/ref_genome.fasta
• resources/exome_definition/ref_exome.bed.gz"
GATK ApplyBQSR	https://github.com/broadinstitute/gatk	"• resources/ref_genome.fasta
• resources/ref_genome.dict"
GATK BaseRecalibrator	https://github.com/broadinstitute/gatk	"• resources/ref_genome.fasta
• resources/ref_genome.dict
• resources/germline_variants/dbSNP_151.vcf.gz
• resources/gatk_bundle/Mills_and_1000G_gold_standard.indels.hg38.vcf.gz
• resources/gatk_bundle/Homo_sapiens_assembly38.known_indels.vcf.gz"
GATK HaplotypeCaller	https://github.com/broadinstitute/gatk	"• resources/ref_genome.fasta
• resources/ref_genome.fasta.fai
• resources/germline_variants/dbSNP_151.vcf.gz
• resources/exome_definition/ref_exome.bed.gz"
GATK Mutect2	https://github.com/broadinstitute/gatk	"• resources/ref_genome.fasta
• resources/ref_genome.fasta.fai
• resources/germline_variants/af_only_gnomad_hg38.vcf.gz
• resources/exome_definition/ref_exome.bed.gz"
hisat2	https://github.com/daehwankimlab/hisat2	"
• indices/hisat2"
Kallisto	https://github.com/pachterlab/kallisto	• indices/kallisto/ref_transcript.idx
minimap2	https://github.com/lh3/minimap2	• resources/ref_genome.fasta
qualimap	https://github.com/scchess/Qualimap	• resources/ref_annot.gtf
RSeQC	https://github.com/MonashBioinformaticsPlatform/RSeQC	"• resources/chromosome_sizes.txt 
• resources/ref_annot.bed
• resources/ref_annot.gtf"
Salmon	https://github.com/COMBINE-lab/salmon	• indices/salmon/transcriptome_index/
snpEff	https://github.com/pcingola/snpeff	• indices/snpeff/snpeff.config
splice2neo	https://github.com/TRON-Bioinformatics/splice2neo	"• indices/R/ref_annot_txdb.sqlite
• indices/R/ref_genome.2bit
• indices/R/ref_cds.Rds
• indices/R/ref_transcript_ranges.Rds
• indices/R/ref_transcripts.Rds"
STAR	https://github.com/alexdobin/STAR	• indices/star
Strelka2	https://github.com/illumina/strelka	"• resources/ref_genome.fasta
• resources/exome_definition/ref_exome.bed.gz"
stringtie	https://github.com/gpertea/stringtie	"• resources/ref_genome.fasta 
• resources/ref_annot.gtf"
tximport	https://github.com/thelovelab/tximport	• resources/ref_annot_transcript2gene.tsv
