GENCODE_release	Genome_assembly_version	Ensembl_release
50	GRCh38	116
49	GRCh38	115
48	GRCh38	114
47	GRCh38	113
46	GRCh38	112
45	GRCh38	111
44	GRCh38	110
43	GRCh38	109
42	GRCh38	108
41	GRCh38	107
40	GRCh38	106
39	GRCh38	105
38	GRCh38	104
37	GRCh38	103
36	GRCh38	102
35	GRCh38	101
34	GRCh38	100
33	GRCh38	99
32	GRCh38	98
31	GRCh38	97
30	GRCh38	96
29	GRCh38	94
28	GRCh38	92
27	GRCh38	90
26	GRCh38	88
25	GRCh38	85
24	GRCh38	83
23	GRCh38	81
22	GRCh38	79
21	GRCh38	77
20	GRCh38	76
19	GRCh37	74
18	GRCh37	73
17	GRCh37	72
16	GRCh37	71
15	GRCh37	70
14	GRCh37	69
13	GRCh37	68
12	GRCh37	67
11	GRCh37	66
10	GRCh37	65
9	GRCh37	64
8	GRCh37	63
7	GRCh37	62
6	GRCh37	61
5	GRCh37	60
4	GRCh37	58
