GENCODE_release	Genome_assembly_version	Ensembl_release
M36	GRCm39	113
M35	GRCm39	112
M34	GRCm39	111
M33	GRCm39	110
M32	GRCm39	109
M31	GRCm39	108
M30	GRCm39	107
M29	GRCm39	106
M28	GRCm39	105
M27	GRCm39	104
M26	GRCm39	103
M25	GRCm38	100
M24	GRCm38	99
M23	GRCm38	98
M22	GRCm38	97
M21	GRCm38	96
M20	GRCm38	95
M19	GRCm38	94
M18	GRCm38	93
M17	GRCm38	92
M16	GRCm38	91
M15	GRCm38	90
M14	GRCm38	89
M13	GRCm38	88
M12	GRCm38	87
M11	GRCm38	86
M10	GRCm38	85
M9	GRCm38	84
M8	GRCm38	83
M7	GRCm38	82
M6	GRCm38	81
M5	GRCm38	80
M4	GRCm38	78
M3	GRCm38	76
M2	GRCm38	74
