Name	Abbreviation	GenBank
Human Cytomegalovirus	CMV ( HHV-5)	AY446894.2
Epstein-Barr virus	EBV (HHV-4)	AJ507799.2
Hepatitis B	HBV	X04615.1
Hepatitis C	HCV-1	AF009606.1
Hepatitis C	HCV-2	AF177036.1
Human immunodeficiency virus 1	HIV-1	AF033819.3
Human immunodeficiency virus 2	HIV-2	M30502.1
Human herpes virus 8	"HHV-8, KSHV"	AF148805.2
Human T-lymphotropic virus 1	HTLV-1	AF033817.1
Merkel cell polyomavirus	MCV	HM011556.1
Simian vacuolating virus 40	SV40	J02400.1
Human papillomavirus 16	HPV16	K02718
Human papillomavirus 18	HPV18	X05015
Human papillomavirus 26	HPV26	X74472
Human papillomavirus 31	HPV31	J04353
Human papillomavirus 33	HPV33	M12732
Human papillomavirus 35	HPV35	X74477
Human papillomavirus 39	HPV39	M62849
Human papillomavirus 45	HPV45	X74479
Human papillomavirus 51	HPV51	M62877
Human papillomavirus 52	HPV52	X74481
Human papillomavirus 53	HPV53	X74482
Human papillomavirus 56	HPV56	X74483
Human papillomavirus 58	HPV58	D90400
Human papillomavirus 59	HPV59	X77858
Human papillomavirus 66	HPV66	U31794
Human papillomavirus 68	HPV68	DQ080079
Human papillomavirus 69	HPV69	AB027020
Human papillomavirus 73	HPV73	X94165
Human papillomavirus 82	HPV82	AB027021
Human papillomavirus 1	HPV1	V01116
Human papillomavirus 2	HPV2	X55964
Human papillomavirus 3	HPV3	X74462
Human papillomavirus 4	HPV4	X70827
Human papillomavirus 5	HPV5	M17463
Human papillomavirus 6	HPV6	X00203
Human papillomavirus 7	HPV7	X74463
Human papillomavirus 8	HPV8	M12737
Human papillomavirus 9	HPV9	X74464
Human papillomavirus 10	HPV10	X74465
Human papillomavirus 11	HPV11	M14119
Human papillomavirus 12	HPV12	X74466
Human papillomavirus 13	HPV13	X62843
Human papillomavirus 14	HPV14	X74467
Human papillomavirus 15	HPV15	X74468
Human papillomavirus 17	HPV17	X74469
Human papillomavirus 19	HPV19	X74470
Human papillomavirus 20	HPV20	U31778
Human papillomavirus 21	HPV21	U31779
Human papillomavirus 22	HPV22	U31780
Human papillomavirus 23	HPV23	U31781
Human papillomavirus 24	HPV24	U31782
Human papillomavirus 25	HPV25	X74471
Human papillomavirus 27	HPV27	X74473
Human papillomavirus 28	HPV28	U31783
Human papillomavirus 29	HPV29	U31784
Human papillomavirus 30	HPV30	X74474
Human papillomavirus 32	HPV32	X74475
Human papillomavirus 34	HPV34	X74476
